age,gendar,stage,martial status ,location,college,do you support feminism,are a membet from womens organization?,does feminism affect divorce and family problems?
20,نێر,2,سەڵت,سلێمانی,computer science ,نەخێر,نەخێر,بەڵێ
19,نێر,2,سەڵت,سلێمانی,Computer Science,نەخێر,نەخێر,بەڵێ
19,مێ,2,سەڵت,سلێمانی,science ,بەڵێ,نەخێر,بەڵێ
19,مێ,2,سەڵت,سلێمانی,Computer science ,بەڵێ,نەخێر,بەڵێ
19,مێ,2,سەڵت,سلێمانی,زانست ,نەخێر,نەخێر,بەڵێ
19,مێ,2,سەڵت,سلێمانی,Zanst,بەڵێ,نەخێر,نەخێر
19,مێ,2,سەڵت,سلێمانی,Paimanga,نەخێر,نەخێر,نەخێر
20,نێر,1,سەڵت,دەرەوەی شار,زمان,نەخێر,نەخێر,بەڵێ
20,نێر,2,سەڵت,سلێمانی,University of human development/ IT department ,نەخێر,نەخێر,نەخێر
19,نێر,1,سەڵت,سلێمانی,Engineering ,نەخێر,نەخێر,بەڵێ
21,مێ,2,سەڵت,سلێمانی,computer science ,بەڵێ,نەخێر,بەڵێ
20,نێر,2,سەڵت,سلێمانی,CS,نەخێر,نەخێر,بەڵێ
20,نێر,2,سەڵت,سلێمانی,Science ,نەخێر,نەخێر,بەڵێ
21+,نێر,4,سەڵت,سلێمانی,College Fine art slemani,نەخێر,نەخێر,بەڵێ
20,نێر,1,سەڵت,سلێمانی,هونەرە جوانەکان,نەخێر,نەخێر,بەڵێ
19,مێ,2,سەڵت,سلێمانی,Science,بەڵێ,نەخێر,نەخێر
20,نێر,2,سەڵت,سلێمانی,,بەڵێ,نەخێر,نەخێر
19,مێ,1,سەڵت,سلێمانی,English department,بەڵێ,نەخێر,بەڵێ
20,مێ,2,سەڵت,سلێمانی,,نەخێر,نەخێر,بەڵێ
20,مێ,2,سەڵت,سلێمانی,Kargery w abwry,بەڵێ,نەخێر,نەخێر
20,مێ,2,سەڵت,سلێمانی,Slemani tachniqal ,نەخێر,نەخێر,بەڵێ
21,مێ,2,سەڵت,سلێمانی,زانستە کرداری و تەندروستیەکان,نەخێر,نەخێر,بەڵێ
19,مێ,2,سەڵت,سلێمانی,college of fine arts,بەڵێ,نەخێر,نەخێر
21,نێر,2,سەڵت,سلێمانی,Spu,نەخێر,نەخێر,بەڵێ
20,مێ,1,سەڵت,سلێمانی,زانست/فیزیا,بەڵێ,نەخێر,نەخێر
19,نێر,2,سەڵت,سلێمانی,Computer science ,نەخێر,نەخێر,بەڵێ
21+,مێ,2,سەڵت,سلێمانی,Science,نەخێر,نەخێر,بەڵێ
19,مێ,2,سەڵت,سلێمانی,زانستی کۆمپیتەر,بەڵێ,نەخێر,بەڵێ
18,مێ,1,سەڵت,سلێمانی,,بەڵێ,بەڵێ,نەخێر
20,مێ,2,سەڵت,سلێمانی,Hunara juanakan,بەڵێ,نەخێر,نەخێر
19,مێ,2,سەڵت,سلێمانی,ئەندازیاری ,بەڵێ,نەخێر,بەڵێ
18,مێ,,سەڵت,سلێمانی,,بەڵێ,نەخێر,نەخێر
20,مێ,2,سەڵت,سلێمانی,Uhd,نەخێر,نەخێر,بەڵێ
21,نێر,2,سەڵت,سلێمانی,Computer department ,نەخێر,نەخێر,بەڵێ
21,نێر,2,خێزاندار,سلێمانی,کۆمپیوتەر,نەخێر,نەخێر,بەڵێ
19,مێ,2,سەڵت,سلێمانی,تەکنیکی کارگێڕی,بەڵێ,نەخێر,بەڵێ
21,نێر,3,سەڵت,سلێمانی,College of languages/ English Department ,بەڵێ,نەخێر,نەخێر
20,مێ,2,سەڵت,سلێمانی,Biology,بەڵێ,نەخێر,نەخێر
20,نێر,2,سەڵت,دەرەوەی شار,زانست,نەخێر,نەخێر,بەڵێ
19,مێ,1,خێزاندار,سلێمانی,پزیشکی,بەڵێ,نەخێر,نەخێر
19,مێ,2,سەڵت,سلێمانی,,بەڵێ,نەخێر,نەخێر
19,مێ,,سەڵت,سلێمانی,,بەڵێ,نەخێر,نەخێر
20,مێ,3,سەڵت,سلێمانی,Language/english,نەخێر,نەخێر,بەڵێ
21,مێ,3,سەڵت,دەرەوەی شار,زمان,,نەخێر,بەڵێ
20,مێ,3,سەڵت,دەرەوەی شار,Language,نەخێر,نەخێر,بەڵێ
21,مێ,3,سەڵت,سلێمانی,"College of language, English department ",نەخێر,نەخێر,بەڵێ
21,مێ,3,سەڵت,سلێمانی,Kolezhy parwarday bnarat ,بەڵێ,نەخێر,نەخێر
21+,مێ,3,سەڵت,دەرەوەی شار,زمان ,نەخێر,نەخێر,بەڵێ
19,نێر,1,سەڵت,دەرەوەی شار,سەڵەحەدین/ئەندازیاری,نەخێر,نەخێر,بەڵێ
21+,مێ,1,سەڵت,دەرەوەی شار,Software and informatics engineering of sallahaddin university,نەخێر,نەخێر,نەخێر
20,نێر,1,سەڵت,سلێمانی,ئەندازیاری پرۆگرامسازی,نەخێر,نەخێر,بەڵێ
20,نێر,3,سەڵت,سلێمانی,زمان,نەخێر,نەخێر,بەڵێ
21,نێر,1,سەڵت,دەرەوەی شار,Salahadin college of engineering ,نەخێر,نەخێر,بەڵێ
18,نێر,1,سەڵت,دەرەوەی شار,SUE-College of engineering ,نەخێر,بەڵێ,بەڵێ
21+,نێر,3,سەڵت,سلێمانی,Language ,بەڵێ,نەخێر,نەخێر
21,نێر,2,سەڵت,دەرەوەی شار,زانست,نەخێر,نەخێر,بەڵێ
19,مێ,2,سەڵت,سلێمانی,زانست/کیمیا,بەڵێ,نەخێر,نەخێر
21+,مێ,3,سەڵت,سلێمانی,English department ,بەڵێ,نەخێر,بەڵێ
20,مێ,2,سەڵت,سلێمانی,Nursing ,بەڵێ,نەخێر,نەخێر
18,مێ,1,سەڵت,سلێمانی,Veterinary medicine ,نەخێر,نەخێر,بەڵێ
19,مێ,2,سەڵت,سلێمانی,زانست/کیمیا,بەڵێ,نەخێر,نەخێر
20,مێ,3,سەڵت,سلێمانی,زمانی ئینگلیزی ,بەڵێ,نەخێر,بەڵێ
20,نێر,1,سەڵت,سلێمانی,ئەندازیاری,نەخێر,نەخێر,بەڵێ
21,مێ,3,سەڵت,سلێمانی,English,نەخێر,نەخێر,بەڵێ
19,مێ,2,سەڵت,سلێمانی,College of fine arts ,بەڵێ,نەخێر,نەخێر
21,مێ,3,سەڵت,سلێمانی,Zman,نەخێر,نەخێر,بەڵێ
21+,مێ,2,سەڵت,دەرەوەی شار,هونەرە جوانەکان ,بەڵێ,نەخێر,بەڵێ
20,مێ,2,سەڵت,سلێمانی,ھونەرە جوانەکان,نەخێر,نەخێر,بەڵێ
20,مێ,3,سەڵت,دەرەوەی شار,پەروەردەی بنەرەت,نەخێر,نەخێر,بەڵێ
19,مێ,1,سەڵت,دەرەوەی شار,Engineering department ,نەخێر,نەخێر,بەڵێ
18,نێر,1,سەڵت,دەرەوەی شار,Salahaddin ,بەڵێ,نەخێر,بەڵێ
18,نێر,1,سەڵت,دەرەوەی شار,ئەندازیاری,نەخێر,نەخێر,بەڵێ
21+,مێ,3,سەڵت,دەرەوەی شار,,بەڵێ,نەخێر,بەڵێ
19,مێ,1,سەڵت,دەرەوەی شار,Software/Engineering,بەڵێ,نەخێر,بەڵێ
18,نێر,1,سەڵت,دەرەوەی شار,ئەندازیاری,نەخێر,نەخێر,بەڵێ
21,مێ,3,سەڵت,سلێمانی,English Language department ,نەخێر,نەخێر,بەڵێ
21+,مێ,2,سەڵت,دەرەوەی شار,شێوەکاری,نەخێر,نەخێر,بەڵێ
21,نێر,2,سەڵت,دەرەوەی شار,هونەرەجوانەکان,نەخێر,نەخێر,بەڵێ
20,نێر,1,سەڵت,سلێمانی,Science,نەخێر,نەخێر,بەڵێ
,,,,,,,,
18,نێر,1,سەڵت,سلێمانی,Computer science,نەخێر,نەخێر,بەڵێ
19,مێ,1,سەڵت,دەرەوەی شار,ئەندازیاری,بەڵێ,نەخێر,بەڵێ
21+,نێر,4,سەڵت,سلێمانی,university of sulaymaniyah  ,نەخێر,نەخێر,بەڵێ
21+,مێ,3,سەڵت,دەرەوەی شار,پەروەردەی بنەرەت / هونەر,بەڵێ,نەخێر,بەڵێ
19,نێر,1,سەڵت,دەرەوەی شار,College of engineering/software and informatics ,نەخێر,نەخێر,بەڵێ
20,نێر,3,خێزاندار,دەرەوەی شار,arabic department ,نەخێر,نەخێر,بەڵێ
19,نێر,1,سەڵت,سلێمانی,زاننست بەشی کۆمپیوتەر,نەخێر,نەخێر,بەڵێ
18,مێ,1,سەڵت,دەرەوەی شار,Computer science ,نەخێر,نەخێر,بەڵێ
20,نێر,1,سەڵت,سلێمانی,کۆمپیوتەر,نەخێر,نەخێر,بەڵێ
20,مێ,2,سەڵت,سلێمانی,زانست,نەخێر,نەخێر,بەڵێ
21+,نێر,2,سەڵت,دەرەوەی شار,Science ,نەخێر,نەخێر,بەڵێ
21,نێر,1,سەڵت,دەرەوەی شار,Computer ,نەخێر,نەخێر,بەڵێ
21,مێ,2,سەڵت,سلێمانی,هونەرەجوانەکان,بەڵێ,نەخێر,نەخێر
18,مێ,2,سەڵت,سلێمانی,زانستی تاقیگە ,نەخێر,نەخێر,نەخێر
20,مێ,2,سەڵت,سلێمانی,Nursing ,بەڵێ,نەخێر,نەخێر
19,مێ,2,سەڵت,سلێمانی,,نەخێر,نەخێر,بەڵێ
19,مێ,2,سەڵت,سلێمانی,Qaiwan,نەخێر,نەخێر,بەڵێ
19,مێ,2,سەڵت,دەرەوەی شار,ھونەر ,نەخێر,نەخێر,بەڵێ
20,نێر,2,سەڵت,سلێمانی,زانکۆی قەیوان ,بەڵێ,نەخێر,نەخێر
21,مێ,2,سەڵت,سلێمانی,Science ,بەڵێ,نەخێر,بەڵێ
21,مێ,2,سەڵت,سلێمانی,زانست,بەڵێ,نەخێر,بەڵێ
20,مێ,2,سەڵت,سلێمانی,UHD,بەڵێ,نەخێر,نەخێر
21+,مێ,2,سەڵت,دەرەوەی شار,ھونەر,بەڵێ,نەخێر,نەخێر
20,نێر,2,سەڵت,سلێمانی,Qaiwan international university ,نەخێر,نەخێر,بەڵێ
19,نێر,1,سەڵت,سلێمانی,کۆلێژی زانست,نەخێر,نەخێر,بەڵێ
19,نێر,1,سەڵت,دەرەوەی شار,,نەخێر,نەخێر,بەڵێ
19,نێر,1,سەڵت,دەرەوەی شار,Soran Universty ,نەخێر,نەخێر,بەڵێ
20,مێ,2,سەڵت,سلێمانی,,بەڵێ,بەڵێ,
20,مێ,2,سەڵت,سلێمانی,College of science ,بەڵێ,بەڵێ,نەخێر
19,مێ,2,سەڵت,سلێمانی,زانست/کۆمپیوتەر,بەڵێ,بەڵێ,بەڵێ
19,مێ,1,سەڵت,سلێمانی,Computer science ,نەخێر,نەخێر,بەڵێ
21+,مێ,2,سەڵت,دەرەوەی شار,.,نەخێر,نەخێر,بەڵێ
19,مێ,2,سەڵت,سلێمانی,کارگێڕی و ئابووری,بەڵێ,نەخێر,بەڵێ
20,نێر,4,سەڵت,دەرەوەی شار,Science ,نەخێر,نەخێر,بەڵێ
20,مێ,1,سەڵت,سلێمانی,زانست/فیزیا,بەڵێ,نەخێر,بەڵێ
20,مێ,2,سەڵت,سلێمانی,پەروەردەی  بایەلۆجی,نەخێر,نەخێر,بەڵێ
21,نێر,2,سەڵت,دەرەوەی شار,Science ,نەخێر,نەخێر,بەڵێ
19,مێ,2,سەڵت,سلێمانی,پەرستاری,نەخێر,نەخێر,بەڵێ
19,مێ,2,سەڵت,سلێمانی,هونەرە جوانەكان,نەخێر,نەخێر,بەڵێ
20,نێر,2,سەڵت,سلێمانی,,بەڵێ,نەخێر,بەڵێ
19,مێ,1,سەڵت,سلێمانی,کۆلێژی زانست ,بەڵێ,نەخێر,بەڵێ
18,نێر,1,سەڵت,دەرەوەی شار,جموری,نەخێر,نەخێر,نەخێر
18,نێر,2,سەڵت,دەرەوەی شار,سلێمانی,نەخێر,نەخێر,بەڵێ
19,نێر,1,سەڵت,دەرەوەی شار,Soran Universty,نەخێر,نەخێر,بەڵێ
18,نێر,1,سەڵت,دەرەوەی شار,Hawler University,بەڵێ,بەڵێ,بەڵێ
19,مێ,1,سەڵت,دەرەوەی شار,سەڵاحەددین,بەڵێ,نەخێر,نەخێر
21+,نێر,3,سەڵت,سلێمانی,Zanst,نەخێر,نەخێر,بەڵێ
19,نێر,1,سەڵت,دەرەوەی شار,کۆلێژی زانست  بەشی کۆمپیوتەر,نەخێر,نەخێر,بەڵێ
21,مێ,2,سەڵت,سلێمانی,پەروەردە,,نەخێر,
21+,مێ,2,سەڵت,سلێمانی,دەرچووی ئەندازیاری/خوێندكاری هونەر بەشی شێوەكاری,نەخێر,نەخێر,بەڵێ
21,نێر,1,سەڵت,دەرەوەی شار,Since ,نەخێر,نەخێر,بەڵێ
20,نێر,2,سەڵت,سلێمانی,Computer Science ,نەخێر,نەخێر,بەڵێ
18,مێ,5,سەڵت,سلێمانی,,بەڵێ,نەخێر,نەخێر
21+,مێ,2,سەڵت,سلێمانی,Education,نەخێر,نەخێر,بەڵێ
21,نێر,3,سەڵت,سلێمانی,زانست,نەخێر,نەخێر,بەڵێ
19,مێ,2,سەڵت,دەرەوەی شار,Zankoy qaewan,بەڵێ,نەخێر,بەڵێ
18,مێ,2,سەڵت,سلێمانی,Paymangay hunara jwanakan,بەڵێ,نەخێر,بەڵێ
20,مێ,2,سەڵت,سلێمانی,Education ,نەخێر,نەخێر,بەڵێ
21,نێر,5,سەڵت,دەرەوەی شار,,بەڵێ,نەخێر,بەڵێ
20,مێ,4,خێزاندار,سلێمانی,,بەڵێ,بەڵێ,نەخێر
20,نێر,1,سەڵت,دەرەوەی شار,Soran university faculty of science computer department ,نەخێر,نەخێر,بەڵێ
21+,نێر,3,سەڵت,سلێمانی,زانست,نەخێر,نەخێر,بەڵێ
19,مێ,2,سەڵت,سلێمانی,,بەڵێ,نەخێر,نەخێر
20,نێر,3,سەڵت,دەرەوەی شار,,نەخێر,نەخێر,بەڵێ
21+,,1,سەڵت,سلێمانی,Zanst ,بەڵێ,نەخێر,نەخێر
18,مێ,1,سەڵت,سلێمانی,,بەڵێ,نەخێر,نەخێر
20,نێر,3,سەڵت,سلێمانی,,نەخێر,نەخێر,نەخێر
21+,نێر,5,خێزاندار,دەرەوەی شار,,نەخێر,نەخێر,بەڵێ
21,نێر,4,سەڵت,دەرەوەی شار,زانست ,نەخێر,نەخێر,بەڵێ
21,مێ,4,سەڵت,سلێمانی,,نەخێر,نەخێر,نەخێر
20,مێ,3,خێزاندار,دەرەوەی شار,,نەخێر,نەخێر,بەڵێ
18,نێر,1,سەڵت,دەرەوەی شار,,بەڵێ,نەخێر,نەخێر
21,مێ,2,خێزاندار,دەرەوەی شار,,بەڵێ,بەڵێ,نەخێر
19,مێ,2,سەڵت,سلێمانی,,بەڵێ,نەخێر,نەخێر
20,مێ,3,سەڵت,سلێمانی,,بەڵێ,نەخێر,نەخێر
20,نێر,2,سەڵت,سلێمانی,,نەخێر,نەخێر,بەڵێ
19,مێ,2,سەڵت,دەرەوەی شار,knu,بەڵێ,نەخێر,نەخێر
